"Tweet Id","Tweet URL","Tweet Posted Time","Tweet Content","Tweet Type",Client,"Retweets Received","Likes Received","Tweet Location","Tweet Language","User  Id",Name,Username,"User Bio","Verified or Non-Verified","Profile URL","User Followers","User Following","User Account Creation Date"
"""1662647432415526913""",https://twitter.com/thurston_21/status/1662647432415526913,"28 May 2023 02:30:13","""A website developed by a @Cornell University law professor to track #CriticalRaceTheory in America’s colleges and universities is expanding to expose CRT’s presence in the curriculum at elite K-12 and medical schools. https://t.co/fSnbMToVQI""",ReTweet,"""Twitter for iPhone""",47,0,"""""",English,"""1604065028""","""Michael L Howell""",thurston_21,"""""",Non-Verified,https://twitter.com/thurston_21,135,113,"18-Jul-2013 18:33:40"
"""1662574409213792257""",https://twitter.com/TruthfullyJaine/status/1662574409213792257,"27 May 2023 21:40:02","""https://t.co/H4SuqFd8Tn

Tap In 12:00 PM Sharp🔌💻 as #CaptainJoel 🛡️⚔️ Gives It To You Straight! YOUR WAYS ARE UNEQUAL‼️🫵🏿 
………………………
Visit our website here 💻👨🏾‍💻🖥
🔴 https://t.co/OB3q8xGKAk

#Christ #IUIC #Nathanyel7   #RealJews #CriticalRaceTheory
 #SocialConstruct https://t.co/9sU6vi2xC3""",ReTweet,"""Twitter for Android""",1,0,"""""",English,"""1500123086514970631""","""Truthfulness""",TruthfullyJaine,"""The fact of being true; truth.

Your Fault with the Truth is...""",Non-Verified,https://twitter.com/TruthfullyJaine,24,121,"05-Mar-2022 14:56:47"
"""1662551768352407553""",https://twitter.com/MarcMedleyShow/status/1662551768352407553,"27 May 2023 20:10:04","""📣 New Podcast! ""LaTanya White, Ph.D, M.B.A. Appears on The Reading Circle with Marc Medley Book Talk Radio Show"" on @Spreaker #88_7fmradio #blackbusinesses #bookbanning #bravenewradio #clapback #courageousconversations #criticalracetheory #racism https://t.co/OxbRkBeAkG""",Tweet,"""Spreaker""",1,1,"""""",English,"""957791529451565056""","""The Marc Medley Show Podcast""",MarcMedleyShow,"""Follow/Subscribe to THE MARC MEDLEY SHOW PODCAST on Apple Podcasts, TuneIn, Pandora, iHeart Radio, Stitcher, YouTube, Google, Spotify and Spreaker. ΑΦΑ 🖤💛""",Non-Verified,https://twitter.com/MarcMedleyShow,289,4067,"29-Jan-2018 01:44:30"
"""1662537985835802627""",https://twitter.com/Gina_Banina/status/1662537985835802627,"27 May 2023 19:15:18","""#CriticalRaceTheory #ListenUpConservatives https://t.co/aym6qwoTd5""",ReTweet,"""Twitter for iPhone""",2,0,"""""",,"""66918848""","""Gina""",Gina_Banina,"""Chronically Ill/Disabled / Pro-Choice / Democrat / Animal Lover / WWE fan - BLM - 🏳️‍🌈 🇺🇦 / Supporter of ALL of LGBTQ / 🚫 DMs (she/her)""",Non-Verified,https://twitter.com/Gina_Banina,677,1785,"19-Aug-2009 05:19:23"
"""1662530772014866432""",https://twitter.com/unitedinminds/status/1662530772014866432,"27 May 2023 18:46:39","""[ #PREJUDICE ] 1/10
Slideshow from November 2021.

""We dwell upon our history to improve upon our future."" - Osei Kwadwo, Palace Historian, Ghana

Targets of prejudice have continued to change over time.

#AntiRacist #Racism #CRT #CriticalRaceTheory https://t.co/qN7P5aWpG7""",ReTweet,"""Twitter for iPhone""",6,0,"""""",English,"""1457027047633522690""","""United in Mind""",unitedinminds,"""Anti xenophobia. Pro equality, inclusivity, empathy, opportunity, & social democracy in our interconnected world. Part of the human tribe.#SpacesHost #Indonesia""",Non-Verified,https://twitter.com/unitedinminds,3971,3226,"06-Nov-2021 16:48:28"
"""1662527066984644609""",https://twitter.com/markfuller86/status/1662527066984644609,"27 May 2023 18:31:55","""@jpo_mpls @billglahn Projection… that’s what your clown car 🤡party does. #CriticalRaceTheory 
#MEA  #Indoctrination #Marxism""",Reply,"""Twitter for iPhone""",0,0,"""""",English,"""318738724""","""🏒🥅 Mark Fuller 🚀 🇺🇸""",markfuller86,"""conservative, finance guy, golfer, snowmobiler, sports fanatic, weather enthusiast, The Five, Tucker Carlson, Gutfeld! ..dad to a wonderful daughter, CSB/SJU""",Non-Verified,https://twitter.com/markfuller86,1624,4996,"16-Jun-2011 23:54:26"
"""1662475121104134144""",https://twitter.com/pandorafan32587/status/1662475121104134144,"27 May 2023 15:05:30","""Also, if there are any K-12 schools teaching #CRT, they probably aren’t teaching it appropriately. ACTUAL #CriticalRaceTheory is a #lawschool ELECTIVE.""",Tweet,"""Twitter for iPhone""",0,0,"""""",English,"""36859386""","""Joel Rion Staves (pronounced JOHL RYAN STAYVS)""",pandorafan32587,"""REALISTIC #ADOS✊🏿🇺🇸|center-left|Instructional Technologist|Sociologist|music lover|blogger|Introverted extrovert|💖💜💙|Awake (🚫 “woke”)|Sleeptime is over""",Non-Verified,https://twitter.com/pandorafan32587,874,4947,"01-May-2009 02:37:19"
"""1662458958597050368""",https://twitter.com/anthropologic/status/1662458958597050368,"27 May 2023 14:01:17","""#AcademicPsychologicalWarfare  @HISTORY #WHITERACISM @JusticeOIG #CriticalRaceTheory @usedgov @EdTrust @FixingEducation @EducationOIG https://t.co/azdS8hBiGN""",Tweet,"""Twitter for Android""",0,0,"""""",,"""26818986""","""anthropologic""",anthropologic,"""anthropod assimilating acculturation through Applied Science SocialCybernetics Age of Info to mend, repair, and transform USA individually  society""",Non-Verified,https://twitter.com/anthropologic,1178,5002,"26-Mar-2009 18:56:57"
"""1662458784684318723""",https://twitter.com/mamiesmith/status/1662458784684318723,"27 May 2023 14:00:35","""The Artistry of Jonathan Harris: Critical Race Theory Painting  A painting that touched the world!  #criticalracetheory  #art   #JonathanHarris   #DetroitArtist  #socialjustice  #culturaldifferences   #education  #books   #removalofbooks  #libraries
https://t.co/nl0cuJdMY6 https://t.co/rSmpNBXEhM""",Tweet,"""Hootsuite Inc.""",0,0,"""""",English,"""49813096""","""Mamie Smith""",mamiesmith,"""I am an author, businesswoman and inspirational writer, speaker and talk show host.  Spirituality is my genre.""",Non-Verified,https://twitter.com/mamiesmith,5241,5873,"22-Jun-2009 23:44:54"
"""1662447807201001473""",https://twitter.com/cclareMDMPH/status/1662447807201001473,"27 May 2023 13:16:58","""⁦@michellemorse⁩ helps us understand the social construction of race based on the #criticalracetheory ⁦@NationalMedAssn⁩ ⁦@NmaRegion1⁩ https://t.co/ADuKYeA1ms""",Tweet,"""Twitter for iPhone""",0,1,"""""",English,"""1174384316689895424""","""Camille A. Clare MD MPH""",cclareMDMPH,"""Chair @sunydownstate Dept of ObGyn, Professor College of Med & School of Public Health, Former Asso Dean of Diversity & Inclusion, ObGyn, my views, she/her/hers""",Non-Verified,https://twitter.com/cclareMDMPH,31321,25539,"18-Sep-2019 18:08:07"
"""1662437456841691138""",https://twitter.com/suibiansjizhe/status/1662437456841691138,"27 May 2023 12:35:50","""【2023年5月15日NicoleがWayne Dupree Podcast 番組に出演】中国共産党の「一人っ子政策」で妊娠後期の赤ちゃんを含む4億人の胎児が殺された。#freemilesguo #freeyvettewang #nfsc #毛沢東 #一人っ子政策 #文化大革命 #批判的人種理論 #CRT #CriticalRaceTheory #Woke ＃階級闘争理論 #CCP https://t.co/iCfdpnCtvw""",ReTweet,"""Twitter for iPhone""",7,0,"""""",Japanese,"""1167646332321878016""","""マドレーヌ宏红玛瑙🔥滅共新中国联邦人""",suibiansjizhe,"""单违建の背景: 中国共産党のスパイの家族! シャン・ウェイジャンとは？なぜ彼は米国に深く潜入したかったのですか？郭文桂のワシントンでの演説を妨害した動機は何ですか?なぜ彼の太平洋同盟PAGは、米国とBVIで何度も郭氏に対して合法的な無制限の戦争を開始したのですか?""",Non-Verified,https://twitter.com/suibiansjizhe,1339,331,"31-Aug-2019 03:52:44"
"""1662410052706115585""",https://twitter.com/nassaucamp144/status/1662410052706115585,"27 May 2023 10:46:57","""https://t.co/uG1VX1OOAC

Tap In 12:00 PM Sharp🔌💻 as #CaptainJoel 🛡️⚔️ Gives It To You Straight! YOUR WAYS ARE UNEQUAL‼️🫵🏿 
………………………
Visit our website here 💻👨🏾‍💻🖥
🔴 https://t.co/jr06Xs5PJC

#Christ #IUIC #Nathanyel7   #RealJews #CriticalRaceTheory
 #SocialConstruct https://t.co/JDUNhO9qKZ""",Tweet,"""Twitter for Android""",0,0,"""""",English,"""1329589702240956416""","""IUIC NASSAU BAHAMAS""",nassaucamp144,"""“And he said, It is a light thing that thou shouldest be my servant to raise up the tribes of Jacob, and to restore the preserved of Israel:""",Non-Verified,https://twitter.com/nassaucamp144,780,150,"20-Nov-2020 00:58:02"
"""1662382164543930369""",https://twitter.com/Clarsonimus/status/1662382164543930369,"27 May 2023 08:56:08","""How ""systemic #racism"" works: 1. ASSUME everyone except you is a #racist. 2. Give this a fancy name like #CriticalRaceTheory. 3. Then find or invert whatever you need to prove your theory is true. It's called circular reasoning; start with whatever you want to end up with.
#Woke""",ReTweet,"""Twitter Web App""",4,0,"""""",English,"""5474222""","""Hermann Observer""",Clarsonimus,"""Murican in #Berlin. Ex-leftist romantic turned common sensible. Uncautiously optimistic. Political correctness is vindictive. The ""woke"" are in a waking dream.""",Non-Verified,https://twitter.com/Clarsonimus,12976,12397,"24-Apr-2007 19:03:40"
"""1662343984814100480""",https://twitter.com/Darinwang389393/status/1662343984814100480,"27 May 2023 06:24:25","""【2023年5月15日NicoleがWayne Dupree Podcast 番組に出演】中国共産党の「一人っ子政策」で妊娠後期の赤ちゃんを含む4億人の胎児が殺された。#freemilesguo #freeyvettewang #nfsc #毛沢東 #一人っ子政策 #文化大革命 #批判的人種理論 #CRT #CriticalRaceTheory #Woke ＃階級闘争理論 #CCP https://t.co/RSTAgTsFS7""",ReTweet,"""Twitter for iPhone""",1,0,"""""",Japanese,"""1642364891247046656""","""Darinwang""",Darinwang389393,"""""",Non-Verified,https://twitter.com/Darinwang389393,849,1579,"02-Apr-2023 03:14:54"
